5.000000, -0.00056604, -162.44773075, 0.00142201, 0.09596547
4.950000, 0.00016828, -163.74298827, 0.00128104, 0.09951584
4.900000, 0.00176950, -166.98215196, 0.00145217, 0.09902388
4.849999, -0.00065273, -168.73431922, 0.00144505, 0.10507365
4.799999, -0.00189954, -170.75369709, 0.00142757, 0.10444879
4.749999, -0.00143804, -173.50943396, 0.00157294, 0.11403831
4.699999, 0.00280724, -173.37072922, 0.00147988, 0.11305452
4.649999, -0.00048190, -176.15502295, 0.00162077, 0.11065128
4.599998, 0.00052014, -177.70117287, 0.00154413, 0.11717662
4.549998, -0.00267466, -181.10759816, 0.00171674, 0.11753870
4.499998, -0.00117032, -182.46812851, 0.00172324, 0.12217852
4.449998, 0.00374554, -185.20754717, 0.00182800, 0.12073267
4.399998, 0.00273585, -188.52218256, 0.00181147, 0.13347119
4.349998, 0.00063488, -189.81744008, 0.00184001, 0.14246825
4.299997, -0.00559918, -192.63233044, 0.00200119, 0.14316727
4.249997, -0.00152473, -194.42937277, 0.00208610, 0.14219517
4.199997, -0.00678990, -196.83018868, 0.00210834, 0.14370093
4.149997, 0.00094084, -202.06221316, 0.00212527, 0.14651561
4.099997, 0.00210352, -203.08414074, 0.00225993, 0.15383428
4.049996, 0.00078276, -205.21366650, 0.00217884, 0.15569658
3.999996, 0.00360275, -207.69811321, 0.00230452, 0.15736748
3.949996, -0.00248343, -211.96940337, 0.00242750, 0.16535630
3.899997, 0.00194543, -214.29066803, 0.00251947, 0.17340926
3.849997, -0.00181030, -217.60122387, 0.00265677, 0.17970254
3.799997, 0.00119072, -221.34829169, 0.00271486, 0.19783061
3.749997, 0.00331209, -223.65119837, 0.00277509, 0.19080017
3.699997, -0.00204233, -228.71188169, 0.00316596, 0.19756341
3.649997, -0.00062978, -232.67108618, 0.00319852, 0.22229698
3.599997, 0.00261346, -235.84905660, 0.00322982, 0.21437074
3.549997, -0.00014533, -240.05507394, 0.00357817, 0.22756609
3.499997, -0.00071392, -242.93727690, 0.00356468, 0.23541647
3.449997, -0.00038246, -246.94339623, 0.00385005, 0.23559329
3.399997, 0.00214176, -252.64048955, 0.00409263, 0.25192283
3.349997, 0.00114482, -256.73839878, 0.00398699, 0.25877465
3.299997, -0.00069352, -261.12187659, 0.00433712, 0.27070388
3.249997, -0.00010709, -266.30086690, 0.00492292, 0.28072220
3.199997, -0.00205507, -271.52881183, 0.00517909, 0.30043277
3.149997, 0.00214941, -275.47373789, 0.00545942, 0.29256890
3.099997, 0.00051759, -282.31718511, 0.00605033, 0.34921597
3.049997, -0.00298828, -287.52677206, 0.00625165, 0.34181580
